SPID,GeoID,PID,SaleDate,Amount,Customers,Boxes
SP01,G4,P04,1/1/2021,8414,276,495
SP02,G3,P14,1/1/2021,532,317,54
SP12,G2,P08,1/1/2021,5376,178,269
SP01,G4,P15,1/1/2021,259,32,22
SP19,G2,P18,1/1/2021,5530,4,179
SP17,G1,P13,1/1/2021,2184,63,122
SP20,G6,P04,1/1/2021,1057,295,71
SP14,G5,P16,1/1/2021,1036,370,37
SP10,G5,P17,1/1/2021,4039,536,176
SP06,G4,P01,1/1/2021,12894,115,478
SP18,G2,P01,1/1/2021,4669,121,180
SP04,G4,P16,1/1/2021,6377,184,246
SP22,G3,P05,1/1/2021,4599,106,256
SP22,G2,P09,1/1/2021,2751,228,251
SP10,G1,P06,1/1/2021,15596,32,975
SP06,G1,P11,1/1/2021,8561,111,330
SP25,G6,P05,1/1/2021,14273,335,752
SP02,G4,P13,1/1/2021,2506,99,148
SP19,G3,P10,1/1/2021,2387,134,89
SP09,G2,P07,1/1/2021,7553,67,280
SP22,G4,P22,1/1/2021,3409,93,171
SP15,G2,P22,1/1/2021,3878,24,216
SP12,G2,P04,1/1/2021,3052,76,204
SP18,G2,P21,1/4/2021,19229,64,1013
SP15,G6,P21,1/4/2021,1988,179,95
SP12,G6,P09,1/4/2021,147,9,11
SP20,G6,P12,1/4/2021,2401,407,134
SP11,G2,P17,1/4/2021,2814,296,94
SP06,G6,P17,1/4/2021,5390,61,216
SP23,G3,P02,1/4/2021,3920,16,262
SP19,G3,P19,1/4/2021,7539,502,943
SP23,G1,P16,1/5/2021,17248,163,664
SP18,G6,P03,1/5/2021,1176,152,66
SP17,G5,P13,1/5/2021,9730,361,573
SP16,G4,P13,1/5/2021,2226,129,140
SP18,G6,P12,1/5/2021,7063,250,643
SP07,G4,P11,1/5/2021,7399,420,275
SP04,G2,P09,1/5/2021,4284,230,306
SP07,G4,P04,1/5/2021,4865,168,271
SP06,G4,P19,1/5/2021,3780,111,315
SP13,G1,P09,1/5/2021,3059,484,279
SP11,G6,P11,1/5/2021,6622,57,276
SP04,G1,P20,1/6/2021,644,116,34
SP08,G1,P11,1/6/2021,4935,87,171
